"FBO-Objekt","ICAO","Bezeichnung","KS","Mietpreis","Mietbeginn","Letzte Mietzahlung","Nächste Mietzahlung","Konto"
"Business Lounge","CYYZ","Business Lounge","0","80.000 €","21.08.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"Fuel Station 750000kg","CYYZ","Lufthamster Fuel Station Toronto","0","75.000 €","03.09.2022","03.10.2022","02.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","CYYZ","Lufthamster Terminal Toronto 400","0","1.296.000 €","21.08.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"FBO","CYYZ","FBO","0","35.000 €","21.08.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"FBO","EDDH","FBO","0","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Business Lounge","EDDH","Business Lounge","0","70.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Fuel Station 750000kg","EDDH","Lufthamster Fuel Station EDDH","0","75.000 €","31.07.2022","29.10.2022","28.11.2022","600-2665153 - Lufthamster"
"Hangar 7500m²","EDDH","Lufthamster Technik Hangar EDDH 7500m²","0","3.750.000 €","18.08.2022","17.10.2022","16.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","EDDH","Lufthamster Terminal Hamburg 400","0","864.000 €","22.07.2022","20.10.2022","19.11.2022","600-2665153 - Lufthamster"
"Cargo Terminal 3000kg","EDHE","Cargo Terminal 15000kg","0","7.000 €","30.10.2022","30.10.2022","29.11.2022","500-2151561 - Aeraxon"
"Cargo Terminal 12000kg","EDDB","Cargo Terminal 18000kg","0","7.000 €","30.10.2022","30.10.2022","29.11.2022","500-2151561 - Aeraxon"
"FBO","EDHE","FBO","0","10.000 €","30.10.2022","30.10.2022","29.11.2022","500-2151561 - Aeraxon"
"Fuel Station 250000kg","EDLP","Lufthamster Fuel Station EDLP","0","17.500 €","28.07.2022","26.10.2022","25.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 200 Pax","EDLP","Lufthamster Terminal Paderborn 200","0","120.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Business Lounge","EDLP","Business Lounge","0","50.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"FBO","EDLP","FBO","0","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Fuel Station 250000kg","EETN","Lufthamster Fuel Station EETN","0","17.500 €","09.08.2022","08.10.2022","07.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 250 Pax","EETN","Lufthamster Terminal Tallin 250","0","320.000 €","19.08.2022","18.10.2022","17.11.2022","600-2665153 - Lufthamster"
"Business Lounge","EETN","Business Lounge","0","60.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"FBO","EETN","FBO","0","25.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 200 Pax","EGLC","Lufthamster Terminal London City 200","0","240.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Business Lounge","EGLC","Business Lounge","0","60.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"FBO","EGLC","FBO","0","25.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Fuel Station 250000kg","EHRD","Lufthamster Fuel Station EHRD","0","17.500 €","28.07.2022","26.10.2022","25.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 200 Pax","EHRD","Lufthamster Terminal Rotterdam 200","0","240.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Business Lounge","EHRD","Business Lounge","0","60.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"FBO","EHRD","FBO","0","25.000 €","21.07.2022","19.10.2022","18.11.2022","600-2665153 - Lufthamster"
"Fuel Station 250000kg","ENAL","Lufthamster Fuel Station ENAL","0","17.500 €","24.10.2022","24.10.2022","23.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 200 Pax","ENAL","Passenger Terminal Ålesund 200","0","240.000 €","24.10.2022","24.10.2022","23.11.2022","600-2665153 - Lufthamster"
"Business Lounge","ENAL","Business Lounge","0","60.000 €","24.10.2022","24.10.2022","23.11.2022","600-2665153 - Lufthamster"
"FBO","ENAL","FBO","0","25.000 €","24.10.2022","24.10.2022","23.11.2022","600-2665153 - Lufthamster"
"Fuel Station 500000kg","KMYR","Lufthamster Fuel Station KMYR","0","50.000 €","28.08.2022","27.10.2022","26.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","KMYR","Lufthamster Passenger Terminal 400 Myrtle Beach","0","576.000 €","28.08.2022","27.10.2022","26.11.2022","600-2665153 - Lufthamster"
"Business Lounge","KMYR","Business Lounge","0","60.000 €","28.08.2022","27.10.2022","26.11.2022","600-2665153 - Lufthamster"
"FBO","KMYR","FBO","0","25.000 €","28.08.2022","27.10.2022","26.11.2022","600-2665153 - Lufthamster"
"Business Lounge","LEPA","Business Lounge","0","80.000 €","28.07.2022","26.10.2022","25.11.2022","600-2665153 - Lufthamster"
"Fuel Station 750000kg","LEPA","Lufthamster Fuel Station LEPA","0","75.000 €","05.09.2022","05.10.2022","04.11.2022","600-2665153 - Lufthamster"
"Passenger Terminal 400 Pax","LEPA","Lufthamster Terminal Palma 400","0","1.296.000 €","30.07.2022","28.10.2022","27.11.2022","600-2665153 - Lufthamster"
"FBO","LEPA","FBO","0","35.000 €","28.07.2022","26.10.2022","25.11.2022","600-2665153 - Lufthamster"
"Fuel Station 250000kg","LFBZ","Lufthamster Fuel Station LFBZ","0","17.500 €","26.07.2022","24.10.2022","23.11.2022","600-2665153 - Lufthamster"
