"FBO-Objekt","ICAO","Bezeichnung","KS","Mietpreis","Mietbeginn","Letzte Mietzahlung","Nächste Mietzahlung","Konto"
"Business Lounge","74S","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","74S","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","74S","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","CAG3","FBO","1","5.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CAG3","Business Lounge","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","CAG3","GGA-Terminal (10)","1","500 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CAJ4","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","CAJ4","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","CAJ4","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CAP3","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","CAP3","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","CAP3","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CAT4","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","CAT4","GGA-Terminal (20)","1","2.400 €","29.10.2022","29.10.2022","28.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","CAT4","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CAT5","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","CAT5","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
